building_id,name,cd_building_type,centroid_x,centroid_y,create_date,last_update_date,updated_by_user_id
KUROMAKUH,Kuromaku Hall      ,4,872729.280277978,461161.979391946,,,
KUROMAKUE,Kuromaku Executive Conference Center,10,872631.429491275,461166.085511624,,,
KUROMAKUS,Kuromaku Skating Rink   ,7,872556.373778707,461220.649326636,,,
BRYANTHAL,Bryant Hall      ,1,872260.659242573,460802.644856630,,,
CANFIELDH,Canfield Hall      ,1,872276.061530892,460844.321693530,,,
CENTRALSE,Central Services      ,5,872768.052510098,461081.447947656,,,
COLEMANHA,Coleman Hall         ,1,872300.524007659,460882.374464547,,,
FORESTHAL,Forest Hall      ,1,872111.166162313,460818.953081102,,,
FORESTHAL-A,Forest Hall Annex     ,1,872146.500897503,460804.456816960,,,
GERBERHAL,Gerber Hall        ,4,872274.216835453,461157.187798297,,,
HOLLISTER,Hollister Building      ,4,872238.128080186,461245.819863977,,,
HORNLIBRA,Horn Library,2,872348.572235464,461190.961034798,,,
HORNCOMPU,Horn Computer Center     ,3,872357.348837431,461255.068799586,,,
KEITHHALL,Keith Hall         ,4,872330.815882918,461108.483752159,,,
KNIGHTAUD,Knight Auditorium      ,10,872524.634620895,460887.107930803,,,
KRIEBELHA,Kriebel Hall      ,4,872435.332180248,461195.424237015,,,
LUKSICHAL,Luksic Hall       ,4,872604.756355398,460942.987558403,,,
MUSTARDHA,Mustard Hall      ,4,872681.500207439,461096.462874975,,,
MALLOYHAL,Malloy Hall      ,4,872724.707929685,461027.446068601,,,
MCCULLOUGH,McCullough Hall          ,1,872678.526441706,460939.588190097,,,
PARKMANOR-S,Park Manor South     ,1,872299.938579561,460706.787709917,,,
PARKMANOR-C,Park Manor Central     ,1,872305.054189273,460750.095843670,,,
PARKMANOR-N,Park Manor North     ,1,872324.986571815,460789.960647632,,,
POSTOFFIC,Post Office          ,11,872652.961230065,461000.380631599,,,
CAMPUSCEN,Campus Center      ,7,872629.341882379,461238.374553969,,,
SULLIVANB,Sullivan Building      ,4,872613.362822676,460849.378499140,,,
TOMASSOHA,Tomasso Hall      ,5,872888.085249647,461030.845209437,,,
TRIMDININ,Trim Dining Hall,6,872742.935667171,461321.914992184,,,
JABBER,JabberWocky Pub     ,6,872323.727292552,461012.304159961,,,
RECREATION,Recreation and Athletics Complex  ,7,872689.852659660,461261.965880645,,,
WESTGATEH,Westgate Hall      ,4,872252.628218518,461098.465684439,,,
WOODLANDH-1,Woodland Hill 1     ,1,872699.846073256,461435.181110140,,,
WOODLANDH-2,Woodland Hill 2     ,1,872731.045857501,461447.371750956,,,
WOODLANDH-3,Woodland Hill 3     ,1,872761.048293531,461453.607663056,,,
WOODLANDH-4,Woodland Hill 4     ,1,872759.283496992,461423.016769902,,,
PARKING-T,Parking Lot T - Trim   ,8,872777.275297197,461377.280783948,,,
PARKING-C,Parking Lot C - Coleman      ,8,872243.462900015,460890.378611665,,,
PARKING-E,Parking Lot E - BECC   ,8,872781.720000642,461218.734363114,,,
PARKING-K,Parking Lot K - Knight   ,8,872443.708387560,460911.565155330,,,
PARKING-N,Parking Lot N - Nichols   ,8,872189.991814200,461125.074884450,,,
PARKING-F,Parking Lot F - Forest   ,8,872148.204261596,460846.173700061,,,
PARKING-H,Parking Lot H - Hollister   ,8,872221.269703812,461200.423743279,,,
PARKING-P,Parking Lot P - Webster   ,8,872937.029011700,461063.815808973,,,
PARKING-S,Parking Lot S - Sullivan   ,8,872648.103815790,460882.175479693,,,
PARKING-W,Parking Lot W - Woodland Hills  ,8,872812.367141484,461463.545562233,,,
PARKING-Y,Parking Lot Y - Bryant      ,8,872242.702445350,460761.402209464,,,
SOCCERFIE,Soccer Field    ,7,873160.565971074,461209.595631881,,,
TENNISCOU,Tennis Courts ,7,872880.775577304,461319.457513820,,,
