building_id,target_building_id,distance_in_meters,create_date,last_update_date,updated_by_user_id
BRYANTHAL,KUROMAKUH,590.567235652,,,
CENTRALSE,KUROMAKUH,89.384430080,,,
CANFIELDH,KUROMAKUH,553.489952294,,,
COLEMANHA,KUROMAKUH,511.901270833,,,
HORNLIBRA,KUROMAKUH,381.832904579,,,
PARKMANOR-N,KUROMAKUH,549.443617634,,,
CAMPUSCEN,KUROMAKUH,125.800785234,,,
WOODLANDH-3,KUROMAKUH,293.371379208,,,
PARKING-T,KUROMAKUH,220.599537025,,,
PARKING-C,KUROMAKUH,556.617830101,,,
PARKING-N,KUROMAKUH,540.582750990,,,
PARKING-W,KUROMAKUH,312.821885778,,,
SOCCERFIE,KUROMAKUH,433.932789248,,,
KUROMAKUS,KUROMAKUE,92.798826811,,,
BRYANTHAL,KUROMAKUE,519.223146182,,,
CENTRALSE,KUROMAKUE,160.724996915,,,
HORNLIBRA,KUROMAKUE,283.966324298,,,
JABBER,KUROMAKUE,344.011363626,,,
PARKING-C,KUROMAKUE,475.983282697,,,
PARKING-W,KUROMAKUE,348.189200880,,,
SOCCERFIE,KUROMAKUE,530.954795182,,,
BRYANTHAL,KUROMAKUS,512.061425942,,,
CENTRALSE,KUROMAKUS,253.362893385,,,
GERBERHAL,KUROMAKUS,289.223319231,,,
HORNLIBRA,KUROMAKUS,209.924416544,,,
SULLIVANB,KUROMAKUS,375.642170895,,,
PARKING-C,KUROMAKUS,454.991520466,,,
SOCCERFIE,KUROMAKUS,604.330216893,,,
KUROMAKUS,BRYANTHAL,512.061425942,,,
CANFIELDH,BRYANTHAL,44.434570693,,,
CENTRALSE,BRYANTHAL,578.981968368,,,
LUKSICHAL,BRYANTHAL,371.639352459,,,
PARKMANOR-S,BRYANTHAL,103.599102899,,,
SOCCERFIE,BRYANTHAL,987.704620857,,,
KUROMAKUS,CANFIELDH,469.280709016,,,
BRYANTHAL,CANFIELDH,44.434570692,,,
CENTRALSE,CANFIELDH,546.187230813,,,
PARKMANOR-S,CANFIELDH,139.599777842,,,
SULLIVANB,CANFIELDH,337.359852530,,,
JABBER,CANFIELDH,174.624931649,,,
PARKING-T,CANFIELDH,731.659815062,,,
SOCCERFIE,CANFIELDH,957.018914826,,,
KUROMAKUS,CENTRALSE,253.362893385,,,
BRYANTHAL,CENTRALSE,578.981968368,,,
BRYANTHAL,COLEMANHA,89.145853504,,,
CANFIELDH,COLEMANHA,45.240212063,,,
CENTRALSE,COLEMANHA,508.177873589,,,
KUROMAKUS,FORESTHAL,599.677988160,,,
CANFIELDH,FORESTHAL,166.845612488,,,
BRYANTHAL,FORESTHAL-A,114.179717534,,,
CANFIELDH,FORESTHAL-A,135.563331913,,,
CENTRALSE,FORESTHAL-A,680.519786413,,,
CANFIELDH,GERBERHAL,312.890686365,,,
CENTRALSE,GERBERHAL,499.640588910,,,
CANFIELDH,HOLLISTER,403.310829546,,,
CENTRALSE,HOLLISTER,554.865440630,,,
CANFIELDH,HORNLIBRA,354.163777720,,,
CENTRALSE,HORNLIBRA,433.566368621,,,
CANFIELDH,HORNCOMPU,418.738892038,,,
CANFIELDH,KEITHHALL,269.793513718,,,
CENTRALSE,KEITHHALL,438.098471339,,,
CANFIELDH,KNIGHTAUD,252.243997118,,,
CENTRALSE,KNIGHTAUD,311.499894047,,,
CANFIELDH,KRIEBELHA,385.562346627,,,
CANFIELDH,LUKSICHAL,343.204984076,,,
CANFIELDH,MUSTARDHA,477.476276360,,,
CANFIELDH,MALLOYHAL,484.610020546,,,
BRYANTHAL,MCCULLOUGH,439.761471729,,,
CANFIELDH,MCCULLOUGH,413.611718816,,,
BRYANTHAL,PARKMANOR-S,103.599102898,,,
BRYANTHAL,PARKMANOR-C,68.796002374,,,
CANFIELDH,PARKMANOR-C,98.591459460,,,
BRYANTHAL,PARKMANOR-N,65.569971179,,,
BRYANTHAL,POSTOFFIC,439.344871944,,,
CANFIELDH,POSTOFFIC,407.956060283,,,
BRYANTHAL,CAMPUSCEN,570.812683084,,,
CANFIELDH,CAMPUSCEN,529.262626954,,,
BRYANTHAL,SULLIVANB,355.808029889,,,
CANFIELDH,SULLIVANB,337.359852530,,,
KUROMAKUS,PARKING-C,454.991520466,,,
KUROMAKUS,PARKING-T,270.813313185,,,
KUROMAKUS,PARKING-K,328.998106315,,,
KUROMAKUS,PARKING-E,225.368126073,,,
KUROMAKUS,PARKING-F,553.960186559,,,
KUROMAKUS,PARKING-N,378.665739082,,,
KUROMAKUS,PARKING-P,411.723062089,,,
KUROMAKUS,PARKING-H,335.734400329,,,
KUROMAKUS,PARKING-W,352.911304506,,,
KUROMAKUS,PARKING-S,350.704989106,,,
KUROMAKUS,SOCCERFIE,604.330216893,,,
KUROMAKUS,PARKING-Y,556.179351492,,,
KUROMAKUS,TENNISCOU,339.136598429,,,
BRYANTHAL,TOMASSOHA,667.677594963,,,
BRYANTHAL,TRIMDININ,708.726644497,,,
CANFIELDH,TRIMDININ,667.923179625,,,
BRYANTHAL,JABBER,218.953126842,,,
BRYANTHAL,RECREATION,628.674113000,,,
BRYANTHAL,WESTGATEH,295.947934343,,,
BRYANTHAL,WOODLANDH-1,770.103690625,,,
BRYANTHAL,WOODLANDH-2,798.131703826,,,
BRYANTHAL,WOODLANDH-3,821.111567264,,,
BRYANTHAL,PARKING-T,772.768802198,,,
BRYANTHAL,PARKING-C,89.408640730,,,
BRYANTHAL,PARKING-E,666.850204544,,,
BRYANTHAL,PARKING-K,213.016848112,,,
CANFIELDH,PARKING-K,180.640934013,,,
BRYANTHAL,PARKING-N,330.103536348,,,
CANFIELDH,PARKING-N,293.668016298,,,
BRYANTHAL,PARKING-F,120.592968866,,,
BRYANTHAL,PARKING-H,399.748835481,,,
CANFIELDH,PARKING-H,360.314720329,,,
BRYANTHAL,PARKING-P,725.086676478,,,
BRYANTHAL,PARKING-S,395.547187746,,,
CANFIELDH,PARKING-S,373.985958428,,,
BRYANTHAL,PARKING-W,860.965718843,,,
BRYANTHAL,PARKING-Y,44.985002563,,,
CANFIELDH,PARKING-Y,89.383713256,,,
BRYANTHAL,SOCCERFIE,987.704620857,,,
CANFIELDH,SOCCERFIE,957.018914826,,,
BRYANTHAL,TENNISCOU,807.291338577,,,
