class_year,class_short_name,class_name,is_alumni,sort_order,create_date,last_updated_date,updated_by_user_id
2030,FR,Freshman,f,4,2020-02-05,2020-02-05,
2029,SO,Sophomore,f,3,2020-02-05,2020-02-05,
2028,JR,Junior,f,2,2020-02-05,2020-02-05,
2027,SR,Senior,f,1,2020-02-05,2020-02-05,
2026,AL,Class of 2026,t,5,2020-02-05,2020-02-05,
2025,AL,Class of 2025,t,6,2020-02-05,2020-02-05,
2024,AL,Class of 2024,t,7,2020-02-05,2020-02-05,
2023,AL,Class of 2023,t,8,2020-02-05,2020-02-05,
2022,AL,Class of 2022,t,9,2020-02-05,2020-02-05,
2021,AL,Class of 2021,t,10,2020-02-05,2020-02-05,
2020,AL,Class of 2020,t,11,2020-02-05,2020-02-05,
2019,AL,Class of 2019,t,12,2020-02-05,2020-02-05,
2018,AL,Class of 2018,t,13,2020-02-05,2020-02-05,
2017,AL,Class of 2017,t,14,2020-02-05,2020-02-05,
