catnum,prereq_catnum,requirement
AERO-1010,AERO-1005,prereq
AERO-1015,AERO-1010,coreq
AERO-2005,AERO-1005,prereq
AERO-2005,MATH-2005,prereq
AERO-2010,AERO-2005,coreq
AERO-2015,ENGR-2005,prereq
AERO-2020,AERO-2005,prereq
AERO-3005,AERO-2005,prereq
AERO-3005,MATH-2015,prereq
AERO-3010,AERO-2015,prereq
AERO-3010,MATH-2010,prereq
AERO-3015,MATH-3010,prereq
AERO-3020,AERO-2005,prereq
AERO-3025,AERO-1010,prereq
AERO-3030,AERO-2020,prereq
AERO-3035,AERO-2005,prereq
AERO-3035,AERO-3015,prereq
AERO-4005,AERO-3005,prereq
AERO-4010,AERO-4005,prereq
AERO-4015,AERO-2010,prereq
AERO-4015,AERO-3020,prereq
AERO-4020,AERO-4015,coreq
AERO-4025,AERO-3035,prereq
AERO-4030,AERO-3030,prereq
AERO-4035,AERO-2020,prereq
AERO-4035,AERO-3035,prereq
AERO-4040,AERO-3015,prereq
AERO-4040,AERO-3025,prereq
AERO-4045,AERO-2015,prereq
AERO-4045,AERO-3010,prereq
AERO-4050,AERO-2015,prereq
AERO-4055,AERO-3025,prereq
AERO-4060,AERO-3005,prereq
AERO-4065,AERO-2020,prereq
AERO-4065,AERO-4035,prereq
CHEM-1005,MATH-1010,prereq
CHEM-2005,CHMY-1015,prereq
CHEM-2005,MATH-2015,prereq
CHEM-2010,CHMY-1015,prereq
CHEM-2015,CHEM-2005,prereq
CHEM-2015,CHEM-2010,prereq
CHEM-2020,CHEM-2015,coreq
CHEM-3005,CHEM-2010,prereq
CHEM-3005,CHEM-2015,prereq
CHEM-3010,CHEM-3005,coreq
CHEM-3015,CHEM-2010,prereq
CHEM-3020,CHEM-2005,prereq
CHEM-3025,CHEM-3005,prereq
CHEM-3030,CHEM-3005,prereq
CHEM-3035,CHMY-2005,prereq
CHEM-3040,CHEM-3005,prereq
CHEM-3045,CHEM-3005,prereq
CHEM-4005,CHEM-3015,prereq
CHEM-4010,CHEM-4005,prereq
CHEM-4015,CHEM-3015,prereq
CHEM-4020,CHEM-3005,prereq
CHEM-4025,CHEM-3045,prereq
CHEM-4030,CHEM-4015,prereq
CHEM-4035,CHEM-3015,prereq
CHEM-4040,CHEM-3005,prereq
CHEM-4045,CHEM-3005,prereq
CHMY-1010,CHMY-1005,coreq
CHMY-1015,CHMY-1005,prereq
CHMY-2005,CHMY-1015,prereq
CIVL-1015,CIVL-1010,coreq
CIVL-2005,ENGR-2005,prereq
CIVL-2010,MATH-2015,prereq
CIVL-2015,CIVL-2005,prereq
CIVL-3005,CIVL-2005,prereq
CIVL-3010,CIVL-3005,coreq
CIVL-3015,CHMY-1015,prereq
CIVL-3020,CIVL-3015,coreq
CIVL-3025,CIVL-3015,prereq
CIVL-3030,CIVL-3025,coreq
CIVL-3035,CIVL-1005,prereq
CIVL-3040,CIVL-1005,prereq
CIVL-3045,CIVL-2010,prereq
CIVL-3050,CIVL-2015,prereq
CIVL-3055,CIVL-3050,coreq
CIVL-3060,CIVL-1005,prereq
CIVL-3065,CIVL-3060,coreq
CIVL-4005,CIVL-2015,prereq
CIVL-4010,CIVL-4005,prereq
CIVL-4015,CIVL-3025,prereq
CIVL-4020,CIVL-3025,prereq
CIVL-4025,CIVL-3035,prereq
CIVL-4030,CIVL-3050,prereq
CIVL-4035,CIVL-2015,prereq
CIVL-4035,MATH-3005,prereq
CIVL-4040,CIVL-3005,prereq
CIVL-4045,CIVL-3005,prereq
CIVL-4050,CIVL-3060,prereq
CIVL-4055,CIVL-2015,prereq
COMP-1005,ENGR-1010,prereq
COMP-1010,COMP-1005,coreq
COMP-1020,COMP-1015,coreq
COMP-2005,COMP-1005,prereq
COMP-2005,MATH-2020,prereq
COMP-2010,COMP-1005,prereq
COMP-2010,COMP-1015,prereq
COMP-3005,COMP-2010,prereq
COMP-3010,COMP-2005,prereq
COMP-3015,COMP-2005,prereq
COMP-3015,MATH-2020,prereq
COMP-3020,COMP-1005,prereq
COMP-3025,COMP-2010,prereq
COMP-3030,COMP-3025,coreq
COMP-3035,COMP-1005,prereq
COMP-3040,COMP-1005,prereq
COMP-3045,COMP-2005,prereq
COMP-3050,COMP-1005,prereq
COMP-3055,COMP-1005,prereq
COMP-4005,COMP-3010,prereq
COMP-4010,COMP-4005,prereq
COMP-4015,COMP-3035,prereq
COMP-4015,MATH-3005,prereq
COMP-4020,COMP-3040,prereq
