cd_department,catnum_prefix,name_department,dept_kind,offers_major,sort_order
AER,AERO,AERONAUTICAL ENGINEERING,engineering,1,1
CHE,CHEM,CHEMICAL ENGINEERING,engineering,1,2
CIV,CIVL,CIVIL ENGINEERING,engineering,1,3
COM,COMP,COMPUTER SCIENCE,engineering,1,4
ENG,EENG,ELECTRICAL ENGINEERING,engineering,1,5
MAN,MANU,MANUFACTURING,engineering,1,6
MAT,MATL,MATERIALS SCIENCE,engineering,1,7
MEC,MECH,MECHANICAL ENGINEERING,engineering,1,8
NUC,NUCL,NUCLEAR ENGINEERING,engineering,1,9
MTH,MATH,MATHEMATICS,foundation,0,10
PHY,PHYS,PHYSICS,foundation,0,11
CHM,CHMY,CHEMISTRY,foundation,0,12
EGR,ENGR,ENGINEERING COMMON CORE,foundation,0,13
HUM,HUMN,HUMANITIES AND WRITING,general education,0,14
SOC,SOCS,SOCIAL SCIENCE AND BUSINESS,general education,0,15
